,Beta,Score
occ_total_sum,0.3508692906557401,0.017295254658997596
oldest_phylostratum,-0.22974922984167245,0.0014370457830690908
PC 1,0.024238114483623122,0.06402157757543846
PC 2,-0.019482691689120143,-7.352900549217889e-06
PC 3,-0.07706649084650888,-2.758400263846994e-05
PC 4,0.08371917616944262,3.145171333214236e-05
PC 5,-0.02421982448416614,-1.1815643657109299e-05
PC 6,-0.07573901404524075,-2.5586393818732845e-05
PC 7,0.03184760655170761,1.2028155233778649e-05
PC 8,0.043237640270670404,1.8531009476796534e-05
PC 9,-0.16814035730507268,-5.963074838497562e-05
PC 10,0.014054300417279113,-4.3352361619231065e-06
PC 11,0.001158153007757914,4.250231532276771e-08
PC 12,0.09356429234448428,-1.1730639026519274e-05
PC 13,0.08804112722099233,-1.3855754792224672e-05
PC 14,-0.03495002744578594,-0.0011184059251627353
PC 15,0.08871571568879746,-7.140388972626255e-06
PC 16,0.051034257593830644,-7.990435278915076e-06
PC 17,-0.0411685289257636,-1.2920703855290317e-05
PC 18,0.016572136467306476,-7.225393602761087e-07
PC 19,0.06869677663480948,-1.7000926118004854e-07
PC 20,0.006099987066790579,1.2750694594609868e-07
PC 21,0.05476647141661196,-8.500463062333097e-07
PC 22,-0.06595278731101907,6.800370450643634e-07
PC 23,0.03272857634524769,1.1900648288376558e-06
PC 24,0.14795443568968134,9.350509369343563e-07
PC 25,0.06186828708415009,-2.1251157646950958e-07
PC 26,0.027367402059066095,-2.9751620713724945e-07
PC 27,0.01677031485205339,1.2325671441160146e-06
PC 28,-0.012950117269451068,2.5501389196991295e-07
PC 29,-0.1263247278557425,1.6150879819876175e-06
PC 30,0.028510582527965435,-3.4001852241560824e-07
PC 31,-0.002127085306199591,0.0
PC 32,-0.011111655892932405,1.1102230246251566e-17
PC 33,-0.052422727877152756,1.7000926125998462e-06
PC 34,-0.03173399606583369,8.075439910326665e-07
PC 35,0.030596516263177553,8.925486216670997e-07
PC 36,-0.057850234990981006,-4.2502315256154334e-08
PC 37,0.012660391695918496,5.525300991626736e-07
PC 38,0.035093450364026356,1.1050601982143248e-06
PC 39,0.05991704458823202,8.500463067884212e-08
PC 40,0.12020282543151385,-3.825208377716827e-07
PC 41,-0.018925775931349035,2.550138919032996e-07
PC 42,0.04110955235114321,1.5725856666648496e-06
PC 43,0.007948000519954809,5.525300991293669e-07
PC 44,-0.0057502890536225044,8.500463064553542e-08
PC 45,0.07821028172182426,1.445078720718751e-06
PC 46,0.08168241346684856,8.500463070104657e-08
PC 47,-0.029071810613954748,6.375347297860046e-07
PC 48,0.044449650030809494,1.402576405384881e-06
PC 49,-0.115069408903104,1.2325671441271169e-06
PC 50,-0.0156579979192601,1.275069459472089e-06
PC 51,-0.07316995348776256,2.975162072926807e-07
PC 52,0.0014147786883755085,1.2750694593499646e-07
PC 53,-0.011684651647088658,4.2502315356074404e-08
PC 54,0.06160248943725252,2.2526227116625997e-06
PC 55,0.03024123420874862,9.35050936967663e-07
PC 56,-0.06751818996525796,-1.5725856665427252e-06
PC 57,-0.05334757336915914,-1.5725856665427252e-06
PC 58,0.017890863288602826,1.1050601982032227e-06
PC 59,0.10571596950803425,2.5501389188553604e-06
PC 60,-0.031498952513863705,-1.3175717747282433e-06
PC 61,-0.07340796633715688,-3.4001852248222166e-07
PC 62,-0.045588805184835615,1.4875810360193142e-06
PC 63,0.15350836412930616,2.9751620723716953e-07
PC 64,-0.021268557814886836,-5.10027783751088e-07
PC 65,-0.04829358482205596,1.615087981965413e-06
PC 66,0.9254324458599288,-5.525300990716353e-06
PC 67,-0.03080786626130891,1.1050601982143248e-06
PC 68,0.1425005541872262,-9.775532521572038e-07
PC 69,-1.2869549813275338,-2.6776458647348455e-06
PC 70,1.6353989842953924,-7.90543064826954e-06
PC 71,-0.8481174196598213,1.3600740900843178e-06
PC 72,-0.12988187562334005,-1.997608819670482e-06
PC 73,-0.7758741280389003,1.5725856666759519e-06
PC 74,-0.3536902830930976,-8.075439908994397e-07
PC 75,0.3091633637632405,-1.1475625134149681e-06
PC 76,0.2470149647974994,-1.1900648287266335e-06
PC 77,1.0508555940256445,-5.737812567263578e-06
PC 78,0.2551142796446757,-1.1050601980922004e-06
PC 79,1.1966153614067063,-7.480407495141783e-06
PC 80,-0.04851965528541929,1.190064828848758e-06
