,Score
occ_total_sum,0.046106643490220034
oldest_phylostratum,0.02015291592576126
PC 1,0.004023333310179988
PC 2,-0.00026850584852193825
PC 3,0.009910752736719198
PC 4,0.00860304025894637
PC 5,-0.0004817910924650337
PC 6,0.0068181818181817675
PC 7,0.0019980568598577443
PC 8,0.0022550150033340266
PC 9,0.01054301129417643
PC 10,-0.00048348417703940604
PC 11,-7.940132529457022e-05
PC 12,0.004630021949322038
PC 13,0.001987116928761934
PC 14,0.00014942556679257147
PC 15,0.0011709633390752927
PC 16,0.000825574085907932
PC 17,0.001136407048788568
PC 18,0.0014464151755945397
PC 19,0.0033880792953988937
PC 20,0.0006977244943320637
PC 21,0.0009646240831295283
PC 22,0.0021464405284507327
PC 23,0.00014643010946874258
PC 24,0.002958556762613884
PC 25,-0.0002277849938875698
PC 26,0.0009166533535229782
PC 27,0.0008783201822626819
PC 28,8.178900866854245e-05
PC 29,0.0024210241164702717
PC 30,0.00041832212713930337
PC 31,-5.3440695154505224e-05
PC 32,-0.0003220333685263532
PC 33,-1.4456337519486162e-05
PC 34,-0.00042891475883530814
PC 35,-1.0462394421040244e-05
PC 36,0.0009152207434985127
PC 37,-6.290460380088403e-05
PC 38,0.00013878952267168954
PC 39,0.0004947279951099781
PC 40,0.004303647338297379
PC 41,-0.0007614973466326336
PC 42,-0.0003539849133141204
PC 43,0.0004092489303178071
PC 44,-0.00038515503445214484
PC 45,0.0022037883418537184
PC 46,5.157396088018018e-05
PC 47,8.942959546562879e-05
PC 48,-8.213630806848115e-05
PC 49,0.0008632994832184382
PC 50,-0.0006951631612580833
PC 51,0.0007253347966214019
PC 52,-6.98071793732602e-05
PC 53,2.4875319515405004e-05
PC 54,0.0009355377583907032
PC 55,1.6540133918585552e-05
PC 56,-8.999395699049728e-05
PC 57,-0.0001937496527006588
PC 58,-0.0022366081351411935
PC 59,0.0011038043176261115
PC 60,-8.98637197163099e-06
PC 61,0.0007852005306734578
PC 62,9.372742553898084e-05
PC 63,0.000634081879306514
PC 64,-8.595660146737405e-06
PC 65,-0.0004801848327406488
PC 66,0.003401276672593856
PC 67,1.1591117470488577e-05
PC 68,9.107926761499074e-05
PC 69,-0.0001364452517226389
PC 70,0.006854952142142645
PC 71,-0.00011408785285622613
PC 72,-0.0003165634029784981
PC 73,0.001002479717714977
PC 74,0.0004063837102689094
PC 75,-8.053004834412958e-05
PC 76,-0.00012233621360306922
PC 77,0.0005875437597243405
PC 78,-4.6885418982123285e-06
PC 79,0.0016374732579461759
PC 80,3.143059568790907e-05
