,LR PCA 95% EV,LR PCA 100% EV,LR NO PCA
occ_total_sum,0.053656537939904256,0.04486101270871236,0.04420992767050417
oldest_phylostratum,0.025895810674286424,0.020669131774367123,0.022393243959322618
cds_length,0.008465781173429377,0.010336777814302945,0.008433828468052417
dnase_gene,-1.1900648287854754e-05,0.005873449183866975,-1.5863211861688597e-05
dnase_cds,0.001680796561392628,2.6543125432709756e-06,-0.0008263214561753718
H3k4me1_gene,-0.0021132576197088306,0.005657633156311126,0.001265091145965136
H3k4me3_gene,0.0001725168978579661,0.0004297263948242369,8.76695591714105e-05
H3k27ac_gene,-1.7510953909227744e-05,-0.00031191575348105127,8.480068043050792e-05
H3k4me1_cds,-0.0021284309462757944,0.0013969170500106377,-8.437878649847352e-06
H3k4me3_cds,7.901180416802767e-05,-0.0005823153364136857,0.00054036174873342
H3k27ac_cds,-0.000115733804599083,0.0018182721514292122,0.002084029458321879
lamin_gene,-0.0013574814488019782,0.0011102512953385713,-0.0008179257669188367
repli_gene,0.00019925085419026934,-0.0015297007364696636,0.00033152425215074997
nsome_gene,-9.074244319461356e-05,-0.0013913361877401775,0.0007396644424417454
nsome_cds,0.000381543284570407,0.013485813380049238,0.011383626465237573
transcription_gene,-0.00042383308830752365,0.0005565889225328635,-3.257021158825646e-05
repeat_gene,0.0006452276487761366,0.00021921899235493035,-0.0001056844300888704
repeat_cds,0.0057792523247703785,0.004396630520374567,0.0065004573330227685
recomb_gene,3.315180594460898e-05,-0.0002265693963208637,-0.0002964648663609681
AAA_freq,0.0005643457427343179,-0.00020655996330245507,-0.0006201418913674206
AAC_freq,-0.00020537118759548224,0.0023134715889872037,0.005073105780621856
AAG_freq,0.00021042896311775915,0.049009430976644106,0.04690861439907111
AAT_freq,0.0002344427712699493,0.03330665408930876,0.06110340451527756
ACA_freq,-0.00015441091153438612,0.011961965743033964,0.012664032360952149
ACC_freq,0.0005835567892560678,0.002432575356953981,0.00474824745260437
ACG_freq,0.00042298304200119043,1.946495865058351e-05,-2.919506012837303e-05
ACT_freq,0.0013785200948821519,-2.6543125432598735e-06,0.0006922013750366718
AGA_freq,0.0009948516945460395,0.05648765030044774,0.05514854041575111
AGC_freq,0.000415630141451917,0.035405806955251695,0.030668102793612817
AGG_freq,0.00046225518135099006,0.0646057631250651,0.06456137375414718
AGT_freq,0.00012482930007610138,0.08379065777267783,0.04065310868325213
ATA_freq,0.0016813490914917351,0.08190779734936265,0.06592421772427033
ATC_freq,0.00033113553860842916,-0.00019464958650573517,-0.0009407390906667646
ATG_freq,-0.0002973461979341674,0.0035678724732135848,0.0045491135164690165
ATT_freq,-0.00020834634966742093,0.02258411618538535,0.023393807609616412
CAA_freq,0.0021717833078956804,0.030489679828653925,0.018380399820441894
CAC_freq,-0.0016347240515927285,0.018127389306659525,0.009809160498577307
CAG_freq,0.00011560629765303699,-0.0002264332777288769,0.003333215203032147
CAT_freq,-0.0003468613952745447,-0.0005619656069153822,0.006015490257625278
CCA_freq,0.0016128353592061774,0.07435341967335622,0.04465401322384336
CCC_freq,0.00011790142267994463,0.0014596677209051778,-0.0007214386245583126
CCG_freq,0.00012967456402181998,0.021664294800201732,0.01223673818612605
CCT_freq,0.00024230569960295156,0.013643779006021206,0.0030186088975742266
CGA_freq,0.0010739910056600354,0.0007409615553455095,0.001508228619259222
CGC_freq,-7.442155411419016e-05,0.01063848467338684,0.01702692189562003
CGG_freq,-0.00035655192316602635,0.038681841167298614,0.05652855546892664
CGT_freq,0.0005316614622581262,0.02876260713383928,0.02108014128384007
CTA_freq,0.00024107313245886887,0.016730540315944897,0.014278029789086755
CTC_freq,0.001309581339443422,0.009933866782095246,0.007613244769358984
CTG_freq,-0.00019236547910949086,0.057807592286703825,0.04146099337457767
CTT_freq,-8.440959821290895e-05,-0.00026236858600686697,-0.0011061215122029177
GAA_freq,0.00021778186366702145,0.0003476468838710889,0.01064645119699741
GAC_freq,4.5179961178354325e-05,0.00038739351272406577,0.006625591073399395
GAG_freq,0.0004738158111162516,0.039620787214652876,0.029124055379485092
GAT_freq,-0.0005457297286269979,0.02809725945632876,0.053187788364502796
GCA_freq,0.0003545968166615454,0.04312618125415587,0.023693183544111485
GCC_freq,0.0003869835809305333,0.002890206063130418,-0.00043412885653246744
GCG_freq,-3.1791731854591274e-05,0.0262938242314234,0.015591554358501791
GCT_freq,-2.5118868350393343e-05,0.01272994683888391,0.007119375731985955
GGA_freq,0.00016945673115542625,0.02587839028875517,0.015310952704002534
GGC_freq,-0.00012924954086874775,0.03635087833924429,0.025616471414154674
GGG_freq,-0.001029108560688896,0.0002361657570541853,-0.0002753279803431763
GGT_freq,-0.0003758054720031101,0.022069996263544646,0.0033703418690912645
GTA_freq,0.000647480271487777,0.013813995305269755,0.007881906825568741
GTC_freq,-4.466993339463654e-05,0.06044972221598346,0.04090101355798337
GTG_freq,0.0006245715235336901,0.09408394569684893,0.08416568787274324
GTT_freq,-0.00030078888547454554,0.04193473521871195,0.039303385614429406
TAA_freq,0.0005498949555276744,0.031722165619574416,0.031006039833537467
TAC_freq,0.0006422949890195206,0.04340896762895704,0.03728601539744092
TAG_freq,0.0015535446293436506,0.027042544546510706,0.02456975256764641
TAT_freq,-0.0001270394204724523,0.06782925556061462,0.0840122028601033
TCA_freq,-0.0001116110800136072,0.009822453714574275,0.00225017128893652
TCC_freq,0.00020868636818990315,0.01569209157786631,0.018215186156478724
TCG_freq,0.0023581559605459377,-8.330457828077397e-05,0.0005427243547553417
TCT_freq,0.003693153684546935,0.015463003987594159,0.01553160323069489
TGA_freq,0.00018688268043397515,0.02839338545314215,0.03692449448669002
TGC_freq,-8.500463062729446e-05,0.03966461740126468,0.06169924531613352
TGG_freq,0.0015205628326602993,0.044884969580897674,0.05057521018755708
TGT_freq,0.0013635167775764346,0.09989042453347055,0.07696573039965161
TTA_freq,0.00048087119545832114,0.06447243496423824,0.039033542255208664
TTC_freq,0.0010087074493382753,0.011615543926490524,0.021685305940604038
TTG_freq,0.0002360153569365364,0.051166298125578935,0.06306930367250226
