ROC-AUC,Precision,Recall,f1-score,AUPRC
0.6552056737588653,0.30389221556886226,0.6170212765957447,0.4072216649949849,0.7347382696099327
0.6829314420803783,0.330804248861912,0.662613981762918,0.44129554655870445,0.6831726818280472
0.6593637284701114,0.30666666666666664,0.6291793313069909,0.4123505976095617,0.711353659807187
0.6817696724079703,0.3308270676691729,0.668693009118541,0.44265593561368205,0.7757654239339287
0.664872678149274,0.3135464231354642,0.6261398176291794,0.41784989858012167,0.924414554934236
0.6709344333009813,0.31958762886597936,0.6575757575757576,0.4301288404360753,0.7691722199596832
0.6403233133944121,0.29473684210526313,0.5957446808510638,0.3943661971830985,0.6931929074566867
0.656591742474229,0.3072100313479624,0.5957446808510638,0.405377456049638,0.7165110721011093
0.650036777033824,0.31521739130434784,0.6170212765957447,0.4172661870503597,0.795822116508937
0.6531790500708499,0.30873493975903615,0.6231003039513677,0.41289023162134947,0.7229964606291537
