,roc_auc,lr__C,lr__class_weight,pca__apply_PCA
0,0.6763553250641574,0.21544346900318845,balanced,False
1,0.6854332115238008,3.1622776601683795,balanced,False
2,0.6642669007901668,3.1622776601683795,balanced,False
3,0.6333282697858119,3.1622776601683795,balanced,False
4,0.6508640665643343,3.1622776601683795,balanced,False
5,0.6601688618709896,0.21544346900318845,balanced,False
6,0.6769793902177943,3.1622776601683795,balanced,False
7,0.6969970453636647,3.1622776601683795,balanced,False
8,0.6870313646660923,3.1622776601683795,balanced,False
9,0.6755627509389975,46.41588833612782,balanced,False
